Symbol,SPY,,Date,open,high,low,close, volume 
Interval,daily,,9/29/23 16:00,431.67,431.85,425.91,427.48," 115,111,319 "
Is Adjusted,FALSE,,9/28/23 16:00,425.48,430.2499,424.87,428.52," 92,258,308 "
,,,5/9/23 16:00,411.13,412.09,410.6894,410.93," 49,220,119 "
,,,5/10/23 16:00,413.88,414.535,408.87,412.85," 96,142,922 "
,,,5/11/23 16:00,411.95,412.43,409.97,412.13," 70,157,064 "
,,,5/12/23 16:00,413.42,413.64,409.07,411.59," 70,481,548 "
,,,5/15/23 16:00,412.22,413.43,410.23,413.01," 54,289,383 "
,,,5/16/23 16:00,411.86,412.815,410.24,410.25," 57,705,495 "
,,,5/17/23 16:00,412.35,415.855,410.635,415.23," 87,286,957 "
,,,5/18/23 16:00,414.9,419.67,414.67,419.23," 97,177,195 "
,,,5/19/23 16:00,420.17,420.72,417.35,418.62," 103,793,317 "
,,,5/22/23 16:00,418.64,420.39,417.35,418.79," 60,745,399 "
,,,5/23/23 16:00,417.08,418.722,413.68,414.09," 86,383,493 "
,,,5/24/23 16:00,412.42,412.82,409.8795,411.09," 89,213,678 "
,,,5/25/23 16:00,414.74,416.16,412.4101,414.65," 90,961,606 "
,,,5/26/23 16:00,415.33,420.77,415.25,420.02," 93,829,975 "
,,,5/30/23 16:00,422.03,422.58,418.735,420.18," 72,215,960 "
,,,5/31/23 16:00,418.28,419.22,416.22,417.85," 106,350,372 "
,,,6/1/23 16:00,418.09,422.92,416.79,421.82," 88,865,018 "
,,,6/2/23 16:00,424.5,428.74,423.95,427.92," 91,426,171 "
,,,6/5/23 16:00,428.28,429.62,426.37,427.1," 65,460,158 "
,,,6/6/23 16:00,426.67,428.5772,425.99,428.03," 64,022,175 "
,,,6/7/23 16:00,428.44,429.62,426.11,426.55," 85,373,275 "
,,,6/8/23 16:00,426.62,429.6,425.82,429.13," 61,952,842 "
,,,6/9/23 16:00,429.96,431.99,428.87,429.9," 85,647,268 "
,,,6/12/23 16:00,430.92,433.88,430.17,433.8," 76,256,703 "
,,,6/13/23 16:00,435.32,437.33,434.63,436.66," 95,899,704 "
,,,6/14/23 16:00,437.01,439.0612,433.59,437.18," 100,612,080 "
,,,6/15/23 16:00,436.33,443.9,436.23,442.6," 110,303,091 "
,,,6/16/23 16:00,443.02,443.6078,438.97,439.46," 114,165,849 "
,,,6/20/23 16:00,437.45,438.37,435.03,437.18," 76,160,359 "
,,,6/21/23 16:00,436.16,436.99,434.33,434.94," 76,982,251 "
,,,6/22/23 16:00,433.95,436.62,433.6,436.51," 70,637,175 "
,,,6/23/23 16:00,432.93,435.06,432.47,433.21," 92,074,537 "
,,,6/26/23 16:00,432.62,434.61,431.19,431.44," 72,823,560 "
,,,6/27/23 16:00,432.35,436.81,431.88,436.17," 72,813,699 "
,,,6/28/23 16:00,435.05,437.44,434.41,436.39," 75,635,976 "
,,,6/29/23 16:00,435.96,438.28,435.54,438.11," 67,882,304 "
,,,6/30/23 16:00,441.44,444.3,441.11,443.28," 104,964,019 "
,,,7/3/23 16:00,442.92,444.08,442.63,443.79," 32,793,378 "
,,,7/5/23 16:00,441.91,443.889,441.9,443.13," 58,418,432 "
,,,7/6/23 16:00,439.42,440.1,437.06,439.66," 80,658,302 "
,,,7/7/23 16:00,438.63,442.64,438.3,438.55," 86,134,178 "
,,,7/10/23 16:00,438.18,439.84,437.585,439.66," 62,443,501 "
,,,7/11/23 16:00,440.45,442.97,439.44,442.46," 64,463,752 "
,,,7/12/23 16:00,446.39,447.4799,444.91,446.02," 91,924,527 "
,,,7/13/23 16:00,447.9,450.38,447.45,449.56," 72,425,241 "
,,,7/14/23 16:00,450.475,451.36,448.49,449.28," 69,815,823 "
,,,7/17/23 16:00,449.13,451.93,449.08,450.84," 52,680,221 "
,,,7/18/23 16:00,450.5,454.86,450.0484,454.19," 80,744,448 "
,,,7/19/23 16:00,455.01,456.43,454.1119,455.2," 65,891,688 "
,,,7/20/23 16:00,454.17,455.1,451.44,452.18," 70,591,642 "
,,,7/21/23 16:00,453.96,454.165,452.17,452.18," 71,275,618 "
,,,7/24/23 16:00,453.37,455.04,452.298,454.2," 54,023,382 "
,,,7/25/23 16:00,453.92,456.735,453.87,455.44," 55,191,240 "
,,,7/26/23 16:00,454.47,456.99,453.38,455.51," 71,052,885 "
,,,7/27/23 16:00,459.02,459.44,451.55,452.49," 92,194,375 "
,,,7/28/23 16:00,455.88,457.78,452.4918,456.92," 80,011,790 "
,,,7/31/23 16:00,457.41,458.16,456.045,457.79," 62,040,449 "
,,,8/1/23 16:00,456.27,457.25,455.49,456.48," 55,502,199 "
,,,8/2/23 16:00,453.25,453.52,449.3499,450.13," 93,933,369 "
,,,8/3/23 16:00,448.04,450.79,447.37,448.84," 64,419,692 "
,,,8/4/23 16:00,450.72,452.895,446.27,446.81," 100,128,902 "
,,,8/7/23 16:00,448.71,450.865,447.99,450.71," 58,357,464 "
,,,8/8/23 16:00,448.08,450.6952,445.2705,448.75," 71,361,324 "
,,,8/9/23 16:00,449.03,449.1999,444.96,445.75," 78,789,575 "
,,,8/10/23 16:00,448.19,451.7,444.7,445.91," 93,005,495 "
,,,8/11/23 16:00,443.97,446.7007,443.345,445.65," 68,690,902 "
,,,8/14/23 16:00,444.7,448.11,444.38,448.11," 47,867,441 "
,,,8/15/23 16:00,446.27,446.64,442.3,442.89," 75,707,534 "
,,,8/16/23 16:00,442.46,444.18,439.53,439.64," 80,107,206 "
,,,8/17/23 16:00,441.16,441.43,435.75,436.29," 95,711,315 "
,,,8/18/23 16:00,433.37,437.57,433.01,436.5," 98,851,960 "
,,,8/21/23 16:00,437.55,440.11,435.32,439.34," 68,718,957 "
,,,8/22/23 16:00,441.18,441.18,437.57,438.15," 65,062,861 "
,,,8/23/23 16:00,439.25,443.67,439.1,443.03," 68,441,021 "
,,,8/24/23 16:00,444.69,445.22,436.855,436.89," 88,517,272 "
,,,8/25/23 16:00,438.68,441.3,435,439.97," 102,325,103 "
,,,8/28/23 16:00,442.24,443.4,439.9728,442.76," 61,595,393 "
,,,8/29/23 16:00,442.65,449.45,442.46,449.16," 83,081,916 "
,,,8/30/23 16:00,449.51,451.67,448.78,451.01," 69,053,911 "
,,,8/31/23 16:00,451.65,452.83,450.16,450.35," 66,084,563 "
,,,9/1/23 16:00,453.17,453.67,449.68,451.19," 58,944,098 "
,,,9/5/23 16:00,450.73,451.06,449.17,449.24," 55,166,210 "
,,,9/6/23 16:00,448.4,448.51,443.81,446.22," 70,758,512 "
,,,9/7/23 16:00,443.11,445.55,442.75,444.85," 70,355,426 "
,,,9/8/23 16:00,444.9,447.11,444.53,445.52," 62,068,437 "
,,,9/11/23 16:00,448.24,448.77,446.4699,448.45," 60,180,118 "
,,,9/12/23 16:00,446.95,448.53,445.39,445.99," 67,565,422 "
,,,9/13/23 16:00,446.22,447.71,445.0793,446.51," 60,199,272 "
,,,9/14/23 16:00,449.07,451.08,447.715,450.36," 83,430,814 "
,,,9/15/23 16:00,447.14,447.48,442.92,443.37," 111,848,859 "
,,,9/18/23 16:00,443.05,444.97,442.56,443.63," 55,752,213 "
,,,9/19/23 16:00,442.68,443.29,439.94,442.71," 66,514,648 "
,,,9/20/23 16:00,444.01,444.435,438.43,438.64," 82,562,602 "
,,,9/21/23 16:00,435.7,435.97,431.23,431.39," 104,095,826 "
,,,9/22/23 16:00,432.45,434.1,429.99,430.42," 100,829,684 "
,,,9/25/23 16:00,429.17,432.27,428.72,432.23," 70,874,534 "
,,,9/26/23 16:00,429.09,429.82,425.02,425.88," 96,168,436 "
,,,9/27/23 16:00,427.09,427.67,422.29,426.05," 104,705,847 "
